"Estimate","True","Pvalue","Coverage"
0.369491525,0.235772358,6.13953332617712e-13,1
0.35,0.235772358,2.41519915178401e-10,1
0.320261438,0.235772358,9.32843580159215e-10,1
0.341296928,0.235772358,1.38689060236175e-12,1
0.29020979,0.235772358,7.72741683086053e-07,0
0.33220339,0.235772358,3.23752336051086e-09,1
0.323232323,0.235772358,3.72703645723504e-10,1
0.337792642,0.235772358,3.20408877207967e-09,1
0.343234323,0.235772358,5.56110713034741e-11,1
0.366101695,0.235772358,3.99680288865056e-15,1
0.367213115,0.235772358,4.44089209850063e-16,1
0.298013245,0.235772358,2.6808374864018e-05,0
0.342756184,0.235772358,5.08526554199307e-12,1
0.381756757,0.235772358,5.44009282066327e-14,1
0.355932203,0.235772358,5.26911847487099e-13,1
0.34006734,0.235772358,1.28097532581251e-12,1
0.33559322,0.235772358,3.09517300678408e-10,1
0.352739726,0.235772358,1.783018177548e-13,1
0.314189189,0.235772358,1.23346219904619e-08,1
0.341296928,0.235772358,9.95395543768041e-10,1
0.364261168,0.235772358,3.92108567837113e-12,1
0.368794326,0.235772358,0,1
0.358156028,0.235772358,2.05169214950729e-13,1
0.306620209,0.235772358,4.12971298491271e-07,0
0.355932203,0.235772358,4.44089209850063e-16,1
0.362369338,0.235772358,2.50466314355435e-13,1
0.356401384,0.235772358,8.23785484271866e-14,1
0.324414716,0.235772358,7.42557237920494e-09,1
0.318493151,0.235772358,6.28053165030451e-12,1
0.337931034,0.235772358,2.27004415265242e-10,1
0.319727891,0.235772358,3.50934836745864e-11,1
0.305369128,0.235772358,7.20694992573101e-09,1
0.355172414,0.235772358,7.32747196252603e-13,1
0.356401384,0.235772358,2.22044604925031e-16,1
0.300353357,0.235772358,4.91135459634862e-07,1
0.306620209,0.235772358,8.88478015603766e-08,1
0.370748299,0.235772358,0,1
0.332142857,0.235772358,1.65423230669148e-13,1
0.34137931,0.235772358,1.10067510661338e-12,1
0.336633663,0.235772358,4.12233136515283e-10,1
0.345762712,0.235772358,0,1
0.327702703,0.235772358,3.0398639161433e-10,1
0.365517241,0.235772358,4.84057238736568e-14,1
0.347368421,0.235772358,1.62092561595273e-14,1
0.323232323,0.235772358,3.11755377069289e-09,1
0.339041096,0.235772358,5.43622924453757e-11,1
0.321192053,0.235772358,3.50042217434066e-11,1
0.325732899,0.235772358,4.4877657146003e-11,1
0.339041096,0.235772358,3.35287353436797e-14,1
0.316326531,0.235772358,2.68180144757935e-09,1
0.344827586,0.235772358,9.76863034907183e-12,1
0.340425532,0.235772358,3.77475828372553e-15,1
0.347972973,0.235772358,4.04103417395163e-11,1
0.338983051,0.235772358,5.54221113446829e-11,1
0.340206186,0.235772358,8.48774384110129e-11,1
0.342465753,0.235772358,4.99200680792455e-11,1
0.340277778,0.235772358,5.01976238354018e-12,1
0.348275862,0.235772358,7.60080887118875e-12,1
0.352159468,0.235772358,7.061018436616e-14,1
0.36026936,0.235772358,2.68673971959288e-14,1
0.343642612,0.235772358,1.80964132567851e-11,1
0.33447099,0.235772358,5.74946534825926e-10,1
0.349673203,0.235772358,4.4255710207608e-11,1
0.356902357,0.235772358,1.0376921544264e-10,1
0.336769759,0.235772358,4.66808813825992e-11,1
0.308219178,0.235772358,3.73310427015383e-09,1
0.360824742,0.235772358,5.04041253179821e-14,1
0.36,0.235772358,2.88657986402541e-15,1
0.379194631,0.235772358,4.08562073062058e-14,1
0.341137124,0.235772358,1.47991396914904e-10,1
0.326666667,0.235772358,5.11371611722211e-10,1
0.359861592,0.235772358,2.16338058578458e-12,1
0.326666667,0.235772358,7.49691420054432e-10,1
0.360824742,0.235772358,1.0458300891969e-13,1
0.35483871,0.235772358,3.32933680624592e-12,1
0.33442623,0.235772358,1.05278008533105e-11,1
0.349152542,0.235772358,9.97473215136324e-11,1
0.363636364,0.235772358,2.50932608025778e-12,1
0.326797386,0.235772358,2.24860130515481e-11,1
0.361403509,0.235772358,3.77475828372553e-15,1
0.379661017,0.235772358,9.32587340685131e-15,1
0.350877193,0.235772358,3.41837669282086e-12,1
0.362416107,0.235772358,1.48459022852876e-12,1
0.356435644,0.235772358,8.88178419700125e-16,1
0.376712329,0.235772358,0,1
0.33559322,0.235772358,8.91051676887855e-11,1
0.35106383,0.235772358,1.93178806284777e-13,1
0.363636364,0.235772358,2.22044604925031e-16,1
0.332179931,0.235772358,5.91797721938292e-11,1
0.368600683,0.235772358,0,1
0.37883959,0.235772358,0,1
0.34,0.235772358,1.4352963262354e-12,1
0.342657343,0.235772358,6.34403640731307e-12,1
0.315972222,0.235772358,4.72271335372199e-08,1
0.364548495,0.235772358,1.84297022087776e-14,1
0.346801347,0.235772358,1.8917312161193e-11,1
0.361204013,0.235772358,2.22044604925031e-16,1
0.304195804,0.235772358,1.43875729108345e-08,1
0.360544218,0.235772358,3.04201108747293e-14,1
0.346020761,0.235772358,2.1538326677728e-14,1
0.371134021,0.235772358,2.99760216648792e-14,1
0.391156463,0.235772358,0,1
0.315068493,0.235772358,1.31626582522415e-07,1
0.369127517,0.235772358,6.66133814775094e-16,1
0.324324324,0.235772358,2.44875897337238e-10,1
0.344481605,0.235772358,4.86277684785819e-14,1
0.402027027,0.235772358,0,0
0.324324324,0.235772358,5.14536857565417e-10,1
0.341216216,0.235772358,7.29416527178728e-13,1
0.333333333,0.235772358,1.92879046068128e-11,1
0.347972973,0.235772358,4.42428760294433e-10,1
0.354304636,0.235772358,0,1
0.367346939,0.235772358,1.11022302462516e-15,1
0.369863014,0.235772358,3.99680288865056e-15,1
0.32,0.235772358,3.99700117448276e-09,1
0.359060403,0.235772358,7.58948459633757e-13,1
0.351170569,0.235772358,2.8199664825479e-14,1
0.390681004,0.235772358,0,1
0.35472973,0.235772358,1.18134391158264e-11,1
0.369863014,0.235772358,1.55431223447522e-15,1
0.355932203,0.235772358,7.105427357601e-15,1
0.364864865,0.235772358,0,1
0.343859649,0.235772358,4.50750547997814e-14,1
0.326599327,0.235772358,3.5527136788005e-15,1
0.365187713,0.235772358,4.66293670342566e-15,1
0.363636364,0.235772358,1.77635683940025e-15,1
0.328671329,0.235772358,5.91934323779242e-09,1
0.352313167,0.235772358,3.84041687340186e-11,1
0.355932203,0.235772358,7.75490782700672e-12,1
0.372413793,0.235772358,0,1
0.34375,0.235772358,1.37556632751057e-12,1
0.32996633,0.235772358,7.12712111550218e-11,1
0.357142857,0.235772358,3.77475828372553e-15,1
0.311418685,0.235772358,1.94906134121098e-07,1
0.336633663,0.235772358,5.3147042322621e-11,1
0.337883959,0.235772358,6.47748521487301e-11,1
0.342372881,0.235772358,9.10382880192628e-14,1
0.31986532,0.235772358,2.75668377014426e-12,1
0.34006734,0.235772358,5.00888219789886e-12,1
0.364864865,0.235772358,1.32271971153841e-12,1
0.339041096,0.235772358,8.97060203897126e-12,1
0.367132867,0.235772358,0,1
0.343642612,0.235772358,1.31978206141525e-10,1
0.336769759,0.235772358,4.8194781498978e-12,1
0.333333333,0.235772358,7.28909199665395e-09,1
0.343234323,0.235772358,4.50750547997814e-14,1
0.368243243,0.235772358,4.44089209850063e-16,1
0.359861592,0.235772358,2.44249065417534e-15,1
0.347972973,0.235772358,1.14908083048704e-12,1
0.349152542,0.235772358,8.99254004593786e-11,1
0.338983051,0.235772358,7.10764780365025e-13,1
0.344709898,0.235772358,2.40458764011464e-11,1
0.340136054,0.235772358,2.05249373053107e-10,1
0.329896907,0.235772358,2.64874788769021e-11,1
0.329931973,0.235772358,2.55575294261234e-09,1
0.31292517,0.235772358,1.18586251929287e-10,1
0.364261168,0.235772358,1.7812418207086e-12,1
0.347402597,0.235772358,1.54276591501912e-12,1
0.368055556,0.235772358,3.5527136788005e-15,1
0.371134021,0.235772358,9.67470548118854e-12,1
0.342372881,0.235772358,3.56026319536795e-12,1
0.354385965,0.235772358,1.35447209004269e-14,1
0.348837209,0.235772358,4.82789364042446e-11,1
0.328813559,0.235772358,1.64469924346378e-08,1
0.322033898,0.235772358,1.14251927918474e-08,1
0.315254237,0.235772358,7.70230468294386e-08,1
0.375426621,0.235772358,3.10862446895044e-15,1
0.370629371,0.235772358,0,1
0.327645051,0.235772358,2.9443016913433e-09,1
0.355932203,0.235772358,5.72875080706581e-13,1
0.352941176,0.235772358,1.50679468902126e-12,1
0.345890411,0.235772358,1.86095583387669e-12,1
0.332214765,0.235772358,5.03908026416866e-11,1
0.335616438,0.235772358,9.5626224716483e-09,1
0.351351351,0.235772358,5.68500801989558e-12,1
0.325174825,0.235772358,4.50968107301719e-09,1
0.362711864,0.235772358,1.11022302462516e-15,1
0.337792642,0.235772358,1.52090562366425e-10,1
0.339100346,0.235772358,1.51434420558871e-13,1
0.345637584,0.235772358,4.31144009382933e-12,1
0.366782007,0.235772358,8.01581023779363e-14,1
0.323232323,0.235772358,3.02237708194042e-08,1
0.333333333,0.235772358,1.70272529409488e-09,1
0.331081081,0.235772358,2.32478147843551e-08,1
0.35915493,0.235772358,0,1
0.353741497,0.235772358,9.63895629979561e-13,1
0.357615894,0.235772358,1.17683640610267e-14,1
0.356643357,0.235772358,9.59565760183523e-12,1
0.371134021,0.235772358,1.11022302462516e-15,1
0.33442623,0.235772358,4.46542802734484e-11,1
0.359589041,0.235772358,1.37889699658444e-13,1
0.401360544,0.235772358,0,1
0.33557047,0.235772358,1.00161323679515e-09,1
0.343859649,0.235772358,5.16919840265473e-13,1
0.353741497,0.235772358,2.46136444559397e-12,1
0.380794702,0.235772358,4.44089209850063e-16,1
0.317406143,0.235772358,6.99304325557648e-09,1
0.365517241,0.235772358,0,1
0.379432624,0.235772358,2.22044604925031e-16,1
0.357388316,0.235772358,2.21822560320106e-13,1
0.313993174,0.235772358,6.06543348879995e-09,1
0.37414966,0.235772358,0,1
0.329861111,0.235772358,4.22382018250289e-09,1
0.337792642,0.235772358,6.94717616767093e-11,1
0.375,0.235772358,9.32587340685131e-15,1
0.357142857,0.235772358,4.38316050122012e-13,1
0.325732899,0.235772358,4.60396387680362e-10,1
0.348122867,0.235772358,1.17964749080102e-10,1
0.367697595,0.235772358,0,1
0.31986532,0.235772358,7.59386331594669e-10,1
0.366782007,0.235772358,2.44249065417534e-15,1
0.36,0.235772358,1.31067823261333e-10,1
0.368600683,0.235772358,5.01154673315796e-13,1
0.342372881,0.235772358,1.3873346915716e-12,1
0.386440678,0.235772358,3.79696274421804e-14,1
0.340277778,0.235772358,2.53002063743679e-11,1
0.352941176,0.235772358,7.88413778707309e-12,1
0.332191781,0.235772358,7.63369056855367e-09,1
0.308474576,0.235772358,3.04157521391346e-09,1
0.321678322,0.235772358,9.12943054487414e-11,1
0.361486486,0.235772358,3.15303338993544e-14,1
0.403389831,0.235772358,0,1
0.342465753,0.235772358,6.52139009460484e-10,1
0.373333333,0.235772358,4.08562073062058e-14,1
0.325174825,0.235772358,8.85413964368809e-10,1
0.351170569,0.235772358,7.96018362336781e-10,1
0.339041096,0.235772358,1.06261666132923e-10,1
0.335548173,0.235772358,2.68896016564213e-13,1
0.363036304,0.235772358,8.23785484271866e-14,1
0.351351351,0.235772358,8.92619311798626e-14,1
0.351724138,0.235772358,3.5615954629975e-13,1
0.350515464,0.235772358,3.37507799486048e-14,1
0.369337979,0.235772358,0,1
0.349315068,0.235772358,1.07891473533073e-12,1
0.367857143,0.235772358,3.28626015289046e-14,1
0.347826087,0.235772358,7.8352435650686e-11,1
0.343333333,0.235772358,3.27959881474271e-13,1
0.356401384,0.235772358,3.10862446895044e-15,1
0.363321799,0.235772358,2.22044604925031e-15,1
0.317567568,0.235772358,3.41482842003415e-10,1
0.368794326,0.235772358,0,1
0.345762712,0.235772358,3.87361254183816e-11,1
0.341216216,0.235772358,8.49998960106291e-10,1
0.318644068,0.235772358,1.25394028493986e-09,1
