Estimate_0,Estimate_1,Estimate_2,Estimate_3,Estimate_4,True_0,True_1,True_2,True_3,True_4,Pvalue_0,Pvalue_1,Pvalue_2,Pvalue_3,Pvalue_4,Coverage_0,Coverage_1,Coverage_2,Coverage_3,Coverage_4
-0.058626655,0.082288655,0.022646655,-0.000343895,0.192382659,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,0.481686681,0.222518623,0.000129278,0.000576978,0.03825668,1,1,1,1,1
0.168616488,-0.008919504,0.005236841,-0.000102086,0.128651979,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,0.063589788,0.891623753,0.347271471,0.225172725,0.177345223,1,1,1,1,1
0.077095034,0.074750873,0.006765234,-9.97E-05,0.213568931,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,0.347867661,0.247657379,0.221332572,0.245878415,0.02590082,1,1,1,1,1
0.053810323,0.007636861,0.013483643,-0.000199491,0.167446759,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,0.481930675,0.908276497,0.006807589,0.011201348,0.104979006,1,1,1,1,1
0.041351407,0.019255031,0.00929134,-0.000147244,0.163932427,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,0.587119366,0.777174432,0.053183112,0.053069349,0.066167944,1,1,1,1,1
0.03123297,0.024637384,0.010083248,-0.000150958,0.226643701,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,0.701037175,0.705972504,0.050265887,0.058334563,0.014946388,1,1,1,1,1
0.062895162,0.042453167,0.011786114,-0.000173125,0.012746478,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,0.42801328,0.527699055,0.017859262,0.032733755,0.89234806,1,1,1,1,1
-0.031748199,0.08634198,0.015068164,-0.000224022,0.15099517,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,0.700622753,0.207176294,0.003138338,0.002084682,0.133486626,1,1,1,1,1
-0.020217035,0.022646527,0.018061686,-0.000248356,0.159329149,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,0.787238975,0.740308045,0.00012632,0.000681678,0.096626461,1,1,1,1,1
-0.010618075,0.086633281,0.019176073,-0.000273768,0.170875095,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,0.889145026,0.188376226,1.67E-05,2.76E-05,0.042504705,1,1,1,1,1
0.095488766,0.059540367,0.007592171,-7.60E-05,0.112131722,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,0.275319348,0.390052842,0.188183707,0.399950774,0.198855174,1,1,1,1,1
0.050558248,0.021046721,0.010991343,-0.00018234,0.076439848,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,0.531788874,0.763007379,0.019888628,0.011656197,0.46531873,1,1,1,1,1
0.08117623,0.059536917,0.003982296,-2.85E-06,0.147496336,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,0.324155095,0.343134377,0.441773263,0.971847126,0.109379963,1,1,1,0,1
0.108167502,0.086807731,0.006563439,-7.85E-05,0.230719561,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,0.192055798,0.190864908,0.176958074,0.264246329,0.022297957,1,1,1,1,1
0.099605395,0.055052615,0.010688602,-0.000179232,0.233099773,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,0.226619257,0.433646218,0.040257105,0.03075257,0.015616737,1,1,1,1,1
0.126315764,-0.048921954,0.009427724,-0.000146214,0.178668204,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,0.141909962,0.465585601,0.065542168,0.060331568,0.049879478,1,1,1,1,1
0.015526256,0.106437223,0.0128164,-0.000205011,0.225636246,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,0.849851267,0.129255462,0.013405935,0.011669222,0.014402573,1,1,1,1,1
0.02908556,0.039624524,0.013627789,-0.000168787,0.098926672,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,0.708151095,0.555157524,0.004670863,0.019094647,0.24118229,1,1,1,1,1
0.042872212,0.07152952,0.012863143,-0.000216138,0.218127349,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,0.533126816,0.289295079,0.002100186,0.000604647,0.015265174,1,1,1,1,1
-0.00354711,0.016897896,0.018124182,-0.000293663,0.183188287,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,0.966108076,0.807346919,0.000912864,0.001162429,0.049563861,1,1,1,1,1
0.112957824,0.102305988,0.004893826,-8.68E-05,0.283203838,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,0.209948803,0.140243281,0.399299422,0.324231877,0.002612681,1,1,1,1,1
0.155287862,-0.036657794,0.010315906,-0.000166346,0.200098895,0.051474653,0.054675758,0.011601285,-0.000168663,0.192329556,0.076865025,0.596377503,0.053179429,0.04361092,0.021726777,1,1,1,1,1
