"Estimate_NTLB","Estimate_NTUB","Estimate_ATLB","Estimate_ATUB","Estimate_COLB","Estimate_COUB","True_NTLB","True_NTUB","True_ATLB","True_ATUB","True_COLB","True_COUB","Coverage_NT","Coverage_AT","Coverage_CO"
0.067212755,0.173407445,0,0.374048328,0.284974561,0.512371477,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,1,1,1
0.113292404,0.252427184,0,0.269731801,0.172327385,0.385573002,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,1,1,1
0.115467279,0.213740458,0,0.202741703,0.201498562,0.428140357,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,1,1,1
0.072435897,0.180769231,0.073440285,0.413507625,0.240436247,0.480295475,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,1,1,1
0.055239857,0.183022774,0,0.225181598,0.123311389,0.342541577,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,1,1,0
0.079892038,0.201754386,0,0.606557377,0.024796493,0.409531333,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,1,1,1
0.109121973,0.190319233,0,0.158749269,0.247547172,0.410816094,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,1,1,1
0.08126686,0.20637229,0.023809524,0.341269841,0.15825409,0.449481062,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,1,1,1
0.044509926,0.136244427,0.089934279,0.411968177,0.234500553,0.479582969,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,1,1,1
0.145198171,0.227642276,0.010321797,0.392921378,0.276657131,0.510813823,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,1,1,1
0.137233461,0.237288136,0.003921569,0.376470588,0.252952965,0.475869386,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,1,1,1
0.029818956,0.113821138,0,0.158456358,0.178132859,0.35244663,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0,1,1
0.075531703,0.205128205,0.042067308,0.368990385,0.220342051,0.464055451,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,1,1,1
0.154890756,0.247327731,0.04828614,0.376154993,0.239808823,0.485310945,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,1,1,1
0.153112092,0.254807008,0,0.356140351,0.186450638,0.403520826,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,1,1,1
0.09158805,0.192039801,0,0.259079903,0.246572867,0.462580296,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,1,1,1
0.09214876,0.2,0.018835019,0.3958842,0.164611599,0.452112918,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,1,1,1
0.079382661,0.187490769,0.074468085,0.454468085,0.234267136,0.449117922,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,1,1,1
0.104333097,0.181141439,0,0.182580645,0.232639096,0.407602147,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,1,1,1
0.081770833,0.165104167,0,0.104112554,0.292969011,0.418376889,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,1,1,1
0.161934738,0.260149024,0,0.267091115,0.204081052,0.413893784,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,1,1,1
0.168330493,0.252252252,0,0.308085106,0.291856313,0.465653666,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,1,1,1
0.134085213,0.228070175,0.005102041,0.326530612,0.24074588,0.456024251,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,1,1,1
0.07127193,0.156287666,0,0.080645161,0.22259542,0.348120301,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,1,1,1
0.144551369,0.218487395,0.036020583,0.436020583,0.255407558,0.487493451,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,1,1,1
0.137148463,0.209875736,0,0.328896104,0.253302812,0.441708352,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,1,1,1
0.131207598,0.236363636,0,0.321212121,0.212306774,0.421368744,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,1,1,1
0.081113801,0.199757869,0,0.37037037,0.135503741,0.388950757,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,1,1,1
0.02293411,0.128625167,0.049285714,0.352857143,0.256700163,0.496349699,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0,1,1
0.12399737,0.217178086,0,0.353479853,0.150333326,0.423411371,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,1,1,1
0.106820113,0.190082645,0.061335404,0.418478261,0.181247893,0.414527475,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,1,1,1
0.048352899,0.16136904,0,0.248941319,0.196725667,0.421964267,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,1,1,1
0.09478022,0.213161376,0,0.281030445,0.25658609,0.487674303,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,1,1,1
0.197564752,0.278645833,0,0.224875267,0.25165266,0.384068536,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,1,1,1
0.021444753,0.140605296,0.025396825,0.30094246,0.161828595,0.421811154,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,0,1,1
0.080316742,0.191427853,0,0.243947175,0.138135195,0.35096806,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,1,1,0
0.085093168,0.198136646,0.035250464,0.417068646,0.271955865,0.522555298,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,1,1,1
0.067194215,0.160652159,0.099149094,0.393266741,0.254163121,0.427030894,0.110204082,0.216326531,0,0.324074074,0.217557252,0.450381679,1,1,1
