Estimate_NTLB,Estimate_NTUB,Estimate_ATLB,Estimate_ATUB,Estimate_COLB,Estimate_COUB,True_NTLB,True_NTUB,True_ATLB,True_ATUB,True_COLB,True_COUB,Coverage_NT,Coverage_AT,Coverage_CO
0.083109665,0.202043214,0,0.60705474,0.169236142,0.912131234,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,1,1,1
0.105708002,0.252574442,0,0.546309921,0.099642747,0.857751296,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,1,1,1
0.116110033,0.214678515,0,0.611776917,0.085467729,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,1,1,1
0.085801845,0.185344618,0,0.654674795,0.149157938,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,1,1,1
0.098586978,0.197228618,0,0.408496115,0.061946624,0.827631531,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,1,0,1
0.116335415,0.196695729,0,0.465496871,0.084874034,0.846727186,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,1,1,1
0.111860249,0.185835016,0,0.599042782,0.075233224,0.949118239,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,1,1,1
0.092752651,0.212338672,0,0.510293899,0.05003119,0.920064595,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,1,1,1
0.085472698,0.190181385,0,0.632999568,0.102736223,0.976183805,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,1,1,1
0.144795494,0.226318721,0,0.66150647,0.175420437,0.980199953,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,1,1,1
0.13938344,0.238163853,0,0.62645787,0.160870004,0.911934234,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,1,1,1
0.053624276,0.177595336,0,0.459923936,0.033628411,0.894729103,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,1,1,1
0.093602879,0.201875168,0,0.668650061,0.145746257,0.911462146,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,1,1,1
0.138011255,0.261865884,0,0.647891376,0.126487548,0.986254317,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,1,1,1
0.142399031,0.274732877,0,0.492483822,0.152416284,0.898900315,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,1,1,1
0.095566223,0.208035666,0,0.534273669,0.138861371,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,1,1,1
0.10062518,0.198976935,0,0.635929916,0.090348599,0.979938114,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,1,1,1
0.079063699,0.198666329,0,0.673748877,0.169307218,0.948830002,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,1,1,1
0.109342111,0.203819244,0,0.648605413,0.076565559,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,1,1,1
0.080761795,0.209135602,0,0.523035854,0.099028649,0.949553581,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,1,1,1
0.140027084,0.277939143,0,0.49587538,0.103120921,0.904225373,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,1,1,1
0.177995,0.256830318,0,0.562006485,0.204953663,0.957840478,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,0,1,1
0.118393217,0.225167767,0,0.676614444,0.129810684,0.995573042,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,1,1,1
0.086410343,0.198652601,0,0.380668328,0.056429637,0.870423943,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,1,0,1
0.127575067,0.213850269,0,0.728538502,0.153251,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,1,1,1
0.102441661,0.241181418,0,0.584889128,0.136339921,0.884100273,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,1,1,1
0.121476824,0.229432213,0,0.576235206,0.169112593,0.959818505,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,1,1,1
0.093164075,0.203645319,0,0.571794837,0.104021152,0.862119944,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,1,1,1
0.019132714,0.128001824,0,0.674397072,0.127258055,0.986506474,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,0,1,1
0.122930133,0.224371308,0,0.436534951,0.118325212,0.925515973,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,1,1,1
0.109215682,0.191511602,0,0.650790013,0.106833519,0.981178795,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,1,1,1
0.096389378,0.166117754,0,0.616886739,0.074175592,0.882705141,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,1,1,1
0.094575596,0.215108437,0,0.525549631,0.177810043,0.927186688,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,1,1,1
0.174189967,0.27915803,0,0.583924751,0.139676324,0.911214303,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,1,1,1
0.057635785,0.145424009,0,0.520507003,0.074926584,0.934188624,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,0,1,1
0.072029242,0.203623686,0,0.570735408,0.037024477,0.951709137,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,1,1,1
0.092584199,0.20067697,0,0.694230057,0.146153527,0.902306227,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,1,1,1
0.067392261,0.180731655,0,0.760755094,0.139288768,0.923951836,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,1,1,1
0.085307657,0.212162167,0,0.651364074,0.078772208,0.955379247,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,1,1,1
