pv1..Const,pv1..male,pv1..age,pv1..I(age^2),pv1..vaccine08,pv1.global_nonconst,stat1.Const,stat1.male,stat1.age,stat1.I(age^2),stat1.vaccine08,stat1.global_nonconst,pv2..Const,pv2..male,pv2..age,pv2..I(age^2),pv2..vaccine08,pv2.global_nonconst,stat2.Const,stat2.male,stat2.age,stat2.I(age^2),stat2.vaccine08,stat2.global_nonconst
0.481686681,0.222518623,0.000129278,0.000576978,0.03825668,6.36E-05,0.495042186,1.488054099,14.65227891,11.8488217,4.293573342,19.32494886,0.486089219,0.214262434,7.11E-05,0.000209129,0.035614657,8.32E-05,0.485171304,1.542389833,15.78090618,13.74722675,4.415460865,18.78769451
0.063589788,0.891623753,0.347271471,0.225172725,0.177345223,0.198087259,3.441192289,0.018564027,0.883402434,1.471096785,1.819731647,3.238095289,0.047027,0.891474832,0.349627118,0.240885954,0.178330271,0.224247912,3.944422234,0.018615398,0.874810043,1.375401741,1.811484348,2.99000618
0.347867661,0.247657379,0.221332572,0.245878415,0.02590082,0.018724454,0.881220322,1.336470411,1.495710374,1.346571341,4.962627702,7.955849836,0.327318818,0.246807078,0.15317041,0.139824117,0.020145886,0.012488924,0.959476462,1.341287299,2.040389614,2.179893725,5.399208508,8.765826287
0.481930675,0.908276497,0.006807589,0.011201348,0.104979006,0.009887236,0.494491244,0.013273977,7.323047217,6.433091026,2.628225119,9.23302125,0.498296799,0.907957426,0.012461652,0.02405738,0.102417798,0.014368036,0.458561986,0.013366901,6.243974367,5.09049095,2.667484276,8.485498523
0.587119366,0.777174432,0.053183112,0.053069349,0.066167944,0.037815806,0.294865462,0.080090776,3.738155863,3.741733884,3.375613397,6.550056252,0.597772272,0.777009943,0.079418525,0.087630653,0.066643707,0.052370536,0.278368936,0.080212279,3.07676133,2.917368753,3.363810209,5.898822281
0.701037175,0.705972504,0.050265887,0.058334563,0.014946388,0.010811079,0.147395154,0.142333121,3.832567222,3.58411265,5.922776448,9.054367728,0.703679609,0.708546297,0.070266958,0.088917488,0.014205269,0.009075199,0.144672288,0.139733295,3.276773113,2.893863036,6.012452659,9.404419847
0.42801328,0.527699055,0.017859262,0.032733755,0.89234806,0.052764143,0.62820831,0.39882045,5.609902026,4.559650402,0.018315204,5.883846853,0.448655558,0.531253582,0.021594407,0.035529197,0.894519732,0.062947844,0.574046127,0.391993135,5.278172114,4.419559987,0.017579407,5.530897545
0.700622753,0.207176294,0.003138338,0.002084682,0.133486626,0.001706836,0.147824832,1.591049215,8.725245546,9.473438598,2.251480626,12.74622781,0.69872214,0.199897525,0.003479961,0.002803206,0.118377832,0.00164567,0.149804621,1.643122951,8.537013807,8.931326769,2.438653085,12.81921506
0.787238975,0.740308045,0.00012632,0.000681678,0.096626461,9.78E-05,0.072844755,0.109856081,14.6959177,11.53854832,2.760360501,18.46500246,0.792086358,0.738875896,0.000227798,0.001005121,0.08800475,0.000184522,0.069486192,0.111117104,13.58666398,10.81810953,2.910497024,17.19548418
0.889145026,0.188376226,1.67E-05,2.76E-05,0.042504705,3.21E-06,0.019428495,1.730271517,18.5360822,17.57852958,4.114992836,25.29623596,0.888333285,0.193558347,4.30E-05,9.52E-05,0.04592034,5.88E-06,0.019715954,1.690323372,16.73415426,15.2298828,3.984514239,24.08667454
