V1.11,V1.12,V1.13,V1.14,V1.15,V1.21,V1.22,V1.23,V1.24,V1.25,V1.31,V1.32,V1.33,V1.34,V1.35,V1.41,V1.42,V1.43,V1.44,V1.45,V1.51,V1.52,V1.53,V1.54,V1.55,V2.11,V2.12,V2.13,V2.14,V2.15,V2.21,V2.22,V2.23,V2.24,V2.25,V2.31,V2.32,V2.33,V2.34,V2.35,V2.41,V2.42,V2.43,V2.44,V2.45,V2.51,V2.52,V2.53,V2.54,V2.55
0.006943014,-0.002472764,-0.000406663,5.76E-06,-0.000772055,-0.002472764,0.004550522,9.28E-05,-1.46E-06,-0.000370331,-0.000406663,9.28E-05,3.50E-05,-5.64E-07,3.11E-05,5.76E-06,-1.46E-06,-5.64E-07,9.98E-09,-9.03E-07,-0.000772055,-0.000370331,3.11E-05,-9.03E-07,0.008620113,0.00708427,-0.002435732,-0.000401721,5.56E-06,-0.001166548,-0.002435732,0.004390215,8.05E-05,-1.22E-06,-0.000300266,-0.000401721,8.05E-05,3.25E-05,-5.05E-07,7.93E-05,5.56E-06,-1.22E-06,-5.05E-07,8.60E-09,-1.80E-06,-0.001166548,-0.000300266,7.93E-05,-1.80E-06,0.008382157
0.008262113,-0.002134528,-0.000426977,5.27E-06,-0.001336785,-0.002134528,0.004285577,6.24E-05,-8.22E-07,0.000333859,-0.000426977,6.24E-05,3.10E-05,-4.43E-07,4.39E-05,5.27E-06,-8.22E-07,-4.43E-07,7.08E-09,-1.05E-06,-0.001336785,0.000333859,4.39E-05,-1.05E-06,0.009095479,0.007208032,-0.001762275,-0.000399131,5.13E-06,-0.001331882,-0.001762275,0.00427375,4.89E-05,-6.80E-07,0.000214626,-0.000399131,4.89E-05,3.13E-05,-4.62E-07,5.54E-05,5.13E-06,-6.80E-07,-4.62E-07,7.58E-09,-1.30E-06,-0.001331882,0.000214626,5.54E-05,-1.30E-06,0.009136889
0.006744788,-0.001119475,-0.000375005,4.84E-06,-0.001955259,-0.001119475,0.004180933,-5.68E-06,5.07E-08,-0.000742448,-0.000375005,-5.68E-06,3.06E-05,-4.50E-07,0.000115549,4.84E-06,5.07E-08,-4.50E-07,7.38E-09,-2.38E-06,-0.001955259,-0.000742448,0.000115549,-2.38E-06,0.009191036,0.006194674,-0.001390472,-0.00029847,3.39E-06,-0.001347499,-0.001390472,0.004165918,7.73E-06,-6.76E-08,-0.00071108,-0.00029847,7.73E-06,2.24E-05,-2.99E-07,4.75E-05,3.39E-06,-6.76E-08,-2.99E-07,4.56E-09,-1.08E-06,-0.001347499,-0.00071108,4.75E-05,-1.08E-06,0.008447847
0.005855616,-0.001615825,-0.000304344,3.91E-06,-0.000987136,-0.001615825,0.004393683,3.17E-05,-8.05E-07,0.000412347,-0.000304344,3.17E-05,2.48E-05,-3.69E-07,6.06E-05,3.91E-06,-8.05E-07,-3.69E-07,6.19E-09,-1.64E-06,-0.000987136,0.000412347,6.06E-05,-1.64E-06,0.010668195,0.006314415,-0.002025801,-0.000347487,4.76E-06,-0.001152044,-0.002025801,0.004363139,5.72E-05,-1.08E-06,0.000151583,-0.000347487,5.72E-05,2.91E-05,-4.55E-07,8.71E-05,4.76E-06,-1.08E-06,-4.55E-07,7.82E-09,-2.10E-06,-0.001152044,0.000151583,8.71E-05,-2.10E-06,0.010511184
0.005799047,-0.001757412,-0.000286846,3.54E-06,-0.000890036,-0.001757412,0.0046292,3.28E-05,-5.35E-07,0.000120046,-0.000286846,3.28E-05,2.31E-05,-3.43E-07,3.74E-05,3.54E-06,-5.35E-07,-3.43E-07,5.79E-09,-1.10E-06,-0.000890036,0.000120046,3.74E-05,-1.10E-06,0.007961173,0.006142707,-0.001740107,-0.000333942,4.43E-06,-0.00095733,-0.001740107,0.004622188,3.98E-05,-6.97E-07,-1.17E-05,-0.000333942,3.98E-05,2.81E-05,-4.33E-07,5.04E-05,4.43E-06,-6.97E-07,-4.33E-07,7.43E-09,-1.34E-06,-0.00095733,-1.17E-05,5.04E-05,-1.34E-06,0.007989107
0.006618253,-0.001887605,-0.000341002,4.25E-06,-0.001107071,-0.001887605,0.004264648,5.67E-05,-8.95E-07,0.000444764,-0.000341002,5.67E-05,2.65E-05,-3.87E-07,4.51E-05,4.25E-06,-8.95E-07,-3.87E-07,6.36E-09,-1.18E-06,-0.001107071,0.000444764,4.51E-05,-1.18E-06,0.008672853,0.006742815,-0.002076013,-0.000375431,4.93E-06,-0.000692034,-0.002076013,0.004343995,7.78E-05,-1.25E-06,0.000418606,-0.000375431,7.78E-05,3.10E-05,-4.70E-07,1.46E-05,4.93E-06,-1.25E-06,-4.70E-07,7.87E-09,-7.57E-07,-0.000692034,0.000418606,1.46E-05,-7.57E-07,0.008543496
0.006296958,-0.002211737,-0.000311672,4.02E-06,-0.002448415,-0.002211737,0.004519005,6.76E-05,-1.09E-06,0.000705629,-0.000311672,6.76E-05,2.48E-05,-3.80E-07,0.000111411,4.02E-06,-1.09E-06,-3.80E-07,6.57E-09,-2.10E-06,-0.002448415,0.000705629,0.000111411,-2.10E-06,0.008870919,0.006891086,-0.002352082,-0.000344384,4.45E-06,-0.002577876,-0.002352082,0.004597712,7.62E-05,-1.20E-06,0.000703127,-0.000344384,7.62E-05,2.63E-05,-3.98E-07,0.000124913,4.45E-06,-1.20E-06,-3.98E-07,6.78E-09,-2.31E-06,-0.002577876,0.000703127,0.000124913,-2.31E-06,0.009242217
0.00681853,-0.001192343,-0.000346594,3.98E-06,-0.000684771,-0.001192343,0.004685548,6.32E-06,-1.64E-07,-0.000329376,-0.000346594,6.32E-06,2.60E-05,-3.48E-07,6.69E-06,3.98E-06,-1.64E-07,-3.48E-07,5.30E-09,-6.68E-07,-0.000684771,-0.000329376,6.69E-06,-6.68E-07,0.010126466,0.006728418,-0.001508855,-0.000344262,3.99E-06,-0.000269178,-0.001508855,0.004537054,2.76E-05,-4.71E-07,-0.000257429,-0.000344262,2.76E-05,2.66E-05,-3.63E-07,-2.59E-05,3.99E-06,-4.71E-07,-3.63E-07,5.62E-09,-1.38E-07,-0.000269178,-0.000257429,-2.59E-05,-1.38E-07,0.009349235
0.005610953,-0.00173818,-0.000261764,3.06E-06,-0.000535071,-0.00173818,0.004668519,-6.77E-06,2.03E-07,0.000427727,-0.000261764,-6.77E-06,2.22E-05,-3.21E-07,-4.78E-06,3.06E-06,2.03E-07,-3.21E-07,5.35E-09,-5.18E-07,-0.000535071,0.000427727,-4.78E-06,-5.18E-07,0.009196544,0.005882154,-0.001388759,-0.000284864,3.38E-06,-0.000710243,-0.001388759,0.004615538,-2.30E-05,4.11E-07,0.000148764,-0.000284864,-2.30E-05,2.40E-05,-3.47E-07,8.72E-06,3.38E-06,4.11E-07,-3.47E-07,5.70E-09,-6.23E-07,-0.000710243,0.000148764,8.72E-06,-6.23E-07,0.008722145
0.005802998,-0.00159655,-0.000258958,2.84E-06,-0.00028661,-0.00159655,0.004337658,2.42E-05,-3.48E-07,-0.000135946,-0.000258958,2.42E-05,1.98E-05,-2.70E-07,-3.13E-05,2.84E-06,-3.48E-07,-2.70E-07,4.26E-09,3.88E-08,-0.00028661,-0.000135946,-3.13E-05,3.88E-08,0.007095589,0.005718391,-0.001402225,-0.000269901,3.07E-06,-0.000300139,-0.001402225,0.004440171,1.65E-05,-2.43E-07,-0.00029316,-0.000269901,1.65E-05,2.20E-05,-3.08E-07,-4.10E-05,3.07E-06,-2.43E-07,-3.08E-07,4.92E-09,2.95E-07,-0.000300139,-0.00029316,-4.10E-05,2.95E-07,0.007327944
