Est.NoA.NT.LB,Est.NoA.NT.UB,Est.NoA.AT.LB,Est.NoA.AT.UB,Est.NoA.CO.LB,Est.NoA.CO.UB,Est.A.NT.LB,Est.A.NT.UB,Est.A.AT.LB,Est.A.AT.UB,Est.A.CO.LB,Est.A.CO.UB,True.NoA.NT.LB,True.NoA.NT.UB,True.NoA.AT.LB,True.NoA.AT.UB,True.NoA.CO.LB,True.NoA.CO.UB,True.A.NT.LB,True.A.NT.UB,True.A.AT.LB,True.A.AT.UB,True.A.CO.LB,True.A.CO.UB,CI.NoA.NT.LB,CI.NoA.NT.UB,CI.NoA.AT.LB,CI.NoA.AT.UB,CI.NoA.CO.LB,CI.NoA.CO.UB,CI.A.NT.LB,CI.A.NT.UB,CI.A.AT.LB,CI.A.AT.UB,CI.A.CO.LB,CI.A.CO.UB,Cover.NoA.NT,Cover.NoA.AT,Cover.NoA.CO,Cover.A.NT,Cover.A.AT,Cover.A.CO
0.064159292,0.194690265,0,0.622641509,0.175683605,1,0.083109665,0.202043214,0,0.60705474,0.169236142,0.912131234,0.102040816,0.220408163,0,0.638888889,0.083969466,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,0,0.270275809,0,0.767857143,0.027975282,1,0.0342946,0.279515524,0,0.73924549,0.075650827,1,1,1,1,1,1,1
0.098246631,0.252427184,0,0.568965517,0.059458832,1,0.105708002,0.252574442,0,0.546309921,0.099642747,0.857751296,0.102040816,0.220408163,0,0.638888889,0.083969466,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,5.78E-05,0.34380111,0,0.701763718,0,1,0.035912598,0.337493996,0,0.688117259,0.032783923,1,1,1,1,1,1,1
0.115467279,0.213740458,0,0.650793651,0,1,0.116110033,0.214678515,0,0.611776917,0.085467729,1,0.102040816,0.220408163,0,0.638888889,0.083969466,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,0.028729789,0.290794103,0,0.769230769,0,1,0.055521441,0.292114681,0,0.736865918,0.021607884,1,1,1,1,1,1,1
0.069591097,0.183333333,0,0.703703704,0.122831211,1,0.085801845,0.185344618,0,0.654674795,0.149157938,1,0.102040816,0.220408163,0,0.638888889,0.083969466,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,0,0.261271786,0,0.822231183,0,1,0.023980584,0.260737722,0,0.772059878,0.05482615,1,1,1,1,1,1,1
0.055239857,0.191304348,0,0.610169492,0,1,0.098586978,0.197228618,0,0.408496115,0.061946624,0.827631531,0.102040816,0.220408163,0,0.638888889,0.083969466,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,0,0.279288823,0,0.727662324,0,1,0.039413013,0.286897579,0,0.600496819,0.011265415,0.978037117,1,1,1,1,0,1
0.064281798,0.201754386,0,0.606557377,0.024796493,1,0.116335415,0.196695729,0,0.465496871,0.084874034,0.846727186,0.102040816,0.220408163,0,0.638888889,0.083969466,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,0,0.286982609,0,0.730783582,0,1,0.04606177,0.27877567,0,0.648124079,0.029057658,0.987089756,1,1,1,1,1,1
0.109121973,0.204724409,0,0.586206897,0.031845577,1,0.111860249,0.185835016,0,0.599042782,0.075233224,0.949118239,0.102040816,0.220408163,0,0.638888889,0.083969466,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,0.030223767,0.276932773,0,0.72,0,1,0.04732292,0.263588418,0,0.705591537,0.017818226,1,1,1,1,1,1,1
0.08126686,0.213114754,0,0.650793651,0,1,0.092752651,0.212338672,0,0.510293899,0.05003119,0.920064595,0.102040816,0.220408163,0,0.638888889,0.083969466,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,0,0.296891142,0,0.76472886,0,1,0.031395569,0.293318905,0,0.672809073,0.003654424,1,1,1,1,1,1,1
0.044509926,0.185483871,0,0.694915254,0.051117958,1,0.085472698,0.190181385,0,0.632999568,0.102736223,0.976183805,0.102040816,0.220408163,0,0.638888889,0.083969466,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,0,0.261751757,0,0.819716042,0,1,0.048580956,0.263267387,0,0.794810548,0.055141802,1,1,1,1,1,1,1
0.145198171,0.227642276,0,0.660377358,0.170536734,1,0.144795494,0.226318721,0,0.66150647,0.175420437,0.980199953,0.102040816,0.220408163,0,0.638888889,0.083969466,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,0.052206547,0.313559322,0,0.788486842,0.006194628,1,0.081177041,0.312305845,0,0.774003723,0.065252603,1,1,1,1,1,1,1
0.137233461,0.237288136,0,0.62745098,0.160910055,1,0.13938344,0.238163853,0,0.62645787,0.160870004,0.911934234,0.102040816,0.220408163,0,0.638888889,0.083969466,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,0.04166419,0.318974573,0,0.754385965,0,1,0.076694554,0.317240502,0,0.740073554,0.058583389,1,1,1,1,1,1,1
0.029818956,0.178861789,0,0.569230769,0,1,0.053624276,0.177595336,0,0.459923936,0.033628411,0.894729103,0.102040816,0.220408163,0,0.638888889,0.083969466,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,0,0.256215407,0,0.6875,0,1,0.008422342,0.249301346,0,0.640076307,0,1,1,1,1,1,1,1
0.066702708,0.205128205,0,0.692307692,0.102559659,1,0.093602879,0.201875168,0,0.668650061,0.145746257,0.911462146,0.102040816,0.220408163,0,0.638888889,0.083969466,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,0,0.289256198,0,0.826953125,0,1,0.043289319,0.282823728,0,0.802694115,0.053041578,1,1,1,1,1,1,1
0.127947104,0.260504202,0,0.68852459,0.079933345,1,0.138011255,0.261865884,0,0.647891376,0.126487548,0.986254317,0.102040816,0.220408163,0,0.638888889,0.083969466,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,0.028914735,0.354003711,0,0.805555556,0,1,0.074368513,0.356768802,0,0.790232639,0.068150557,1,1,1,1,1,1,1
0.138373941,0.271186441,0,0.6,0.085820005,1,0.142399031,0.274732877,0,0.492483822,0.152416284,0.898900315,0.102040816,0.220408163,0,0.638888889,0.083969466,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,0.038053733,0.362851971,0,0.729166667,0,1,0.085269313,0.364956226,0,0.691435647,0.057261414,1,1,1,1,1,1,1
0.09158805,0.208333333,0,0.644067797,0.056497175,1,0.095566223,0.208035666,0,0.534273669,0.138861371,1,0.102040816,0.220408163,0,0.638888889,0.083969466,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,0.004392981,0.293103448,0,0.769318182,0,1,0.037365505,0.292627883,0,0.727280092,0.050313946,1,1,1,1,1,1,1
0.084765625,0.2,0,0.655737705,0.041573477,1,0.10062518,0.198976935,0,0.635929916,0.090348599,0.979938114,0.102040816,0.220408163,0,0.638888889,0.083969466,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,0,0.283464567,0,0.774726135,0,1,0.044458662,0.280787184,0,0.733489393,0.034388277,1,1,1,1,1,1,1
0.067888322,0.198198198,0,0.66,0.157102797,1,0.079063699,0.198666329,0,0.673748877,0.169307218,0.948830002,0.102040816,0.220408163,0,0.638888889,0.083969466,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,0,0.281619826,0,0.793275862,0.014582021,1,0.030096537,0.282499676,0,0.800449864,0.081374104,1,1,1,1,1,1,1
0.104333097,0.201612903,0,0.629032258,0,1,0.109342111,0.203819244,0,0.648605413,0.076565559,1,0.102040816,0.220408163,0,0.638888889,0.083969466,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,0.023362079,0.283490022,0,0.754385965,0,1,0.048468144,0.277520865,0,0.753261766,0.033375047,1,1,1,1,1,1,1
0.079425466,0.208333333,0,0.535714286,0.070258028,1,0.080761795,0.209135602,0,0.523035854,0.099028649,0.949553581,0.102040816,0.220408163,0,0.638888889,0.083969466,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,0,0.291692073,0,0.673086735,0,1,0.030241234,0.287840614,0,0.652721739,0.038179755,1,1,1,1,1,1,1
0.124421296,0.276785714,0,0.64516129,0.018245983,1,0.140027084,0.277939143,0,0.49587538,0.103120921,0.904225373,0.102040816,0.220408163,0,0.638888889,0.083969466,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,0.017429079,0.373966927,0,0.766696429,0,1,0.070954197,0.373664423,0,0.687638961,0.05261256,1,1,1,1,1,1,1
0.168330493,0.252252252,0,0.62,0.189202437,1,0.177995,0.256830318,0,0.562006485,0.204953663,0.957840478,0.102040816,0.220408163,0,0.638888889,0.083969466,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,0.081395305,0.340047009,0,0.760021739,0.034622937,1,0.102708062,0.343222071,0,0.723498842,0.103217589,1,1,1,1,0,1,1
0.101785997,0.228070175,0,0.660714286,0.109309623,1,0.118393217,0.225167767,0,0.676614444,0.129810684,0.995573042,0.102040816,0.220408163,0,0.638888889,0.083969466,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,0,0.319334229,0,0.786893966,0,1,0.055823088,0.30861637,0,0.786139041,0.053414712,1,1,1,1,1,1,1
0.07127193,0.201754386,0,0.548387097,0,1,0.086410343,0.198652601,0,0.380668328,0.056429637,0.870423943,0.102040816,0.220408163,0,0.638888889,0.083969466,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,0,0.285714286,0,0.672727273,0,1,0.028842985,0.279235263,0,0.571025626,0.005158161,1,1,1,1,1,0,1
0.12552521,0.218487395,0,0.727272727,0.137548323,1,0.127575067,0.213850269,0,0.728538502,0.153251,1,0.102040816,0.220408163,0,0.638888889,0.083969466,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,0.046416381,0.29571701,0,0.850091463,0,1,0.056242438,0.291855436,0,0.836895848,0.070990848,1,1,1,1,1,1,1
0.085227273,0.236363636,0,0.678571429,0.096679687,1,0.102441661,0.241181418,0,0.584889128,0.136339921,0.884100273,0.102040816,0.220408163,0,0.638888889,0.083969466,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,0,0.321116873,0,0.800192308,0,1,0.046186478,0.324257447,0,0.765853783,0.064743411,1,1,1,1,1,1,1
0.123535973,0.236363636,0,0.563636364,0.121552557,1,0.121476824,0.229432213,0,0.576235206,0.169112593,0.959818505,0.102040816,0.220408163,0,0.638888889,0.083969466,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,0.032009881,0.327500215,0,0.697674419,0,1,0.043680645,0.317687643,0,0.696474271,0.082724077,1,1,1,1,1,1,1
0.059053851,0.203389831,0,0.611111111,0.037515225,1,0.093164075,0.203645319,0,0.571794837,0.104021152,0.862119944,0.102040816,0.220408163,0,0.638888889,0.083969466,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,0,0.27828633,0,0.745454545,0,1,0.033020003,0.280293095,0,0.736129635,0.035752577,1,1,1,1,1,1,1
0.012484583,0.130081301,0,0.714285714,0.10061462,1,0.019132714,0.128001824,0,0.674397072,0.127258055,0.986506474,0.102040816,0.220408163,0,0.638888889,0.083969466,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,0,0.19851145,0,0.830188679,0,1,0,0.196521873,0,0.808324477,0.060338328,1,0,1,1,0,1,1
0.12399737,0.230769231,0,0.615384615,0.004414716,1,0.122930133,0.224371308,0,0.436534951,0.118325212,0.925515973,0.102040816,0.220408163,0,0.638888889,0.083969466,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,0.031926369,0.32457745,0,0.733359375,0,1,0.065785667,0.312645425,0,0.624487584,0.02520303,1,1,1,1,1,1,1
0.106820113,0.190082645,0,0.660714286,0.079167627,1,0.109215682,0.191511602,0,0.650790013,0.106833519,0.981178795,0.102040816,0.220408163,0,0.638888889,0.083969466,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,0.019108886,0.273600122,0,0.783357843,0,1,0.034472243,0.273882985,0,0.759788344,0.040231549,1,1,1,1,1,1,1
0.048352899,0.163934426,0,0.637931034,0.019554378,1,0.096389378,0.166117754,0,0.616886739,0.074175592,0.882705141,0.102040816,0.220408163,0,0.638888889,0.083969466,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,0,0.23480927,0,0.766004939,0,1,0.037728152,0.236843121,0,0.747832586,0.028043241,1,1,1,1,1,1,1
0.09478022,0.214285714,0,0.655737705,0.090512948,1,0.094575596,0.215108437,0,0.525549631,0.177810043,0.927186688,0.102040816,0.220408163,0,0.638888889,0.083969466,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,0.005845214,0.300024272,0,0.762711864,0,1,0.036077072,0.295752853,0,0.703407712,0.074778271,1,1,1,1,1,1,1
0.175454596,0.279279279,0,0.586956522,0.143537354,1,0.174189967,0.27915803,0,0.583924751,0.139676324,0.911214303,0.102040816,0.220408163,0,0.638888889,0.083969466,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,0.072811801,0.371486291,0,0.724159483,0.011441519,1,0.093016817,0.370740027,0,0.716810495,0.064442305,1,1,1,1,1,1,1
0.021444753,0.145299145,0,0.640625,0,1,0.057635785,0.145424009,0,0.520507003,0.074926584,0.934188624,0.102040816,0.220408163,0,0.638888889,0.083969466,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,0,0.219059233,0,0.763663102,0,1,0.010816002,0.216736463,0,0.710483795,0.015078633,1,0,1,1,0,1,1
0.070512821,0.205128205,0,0.586206897,0,1,0.072029242,0.203623686,0,0.570735408,0.037024477,0.951709137,0.102040816,0.220408163,0,0.638888889,0.083969466,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,0,0.288514957,0,0.716991386,0,1,0.024850859,0.29263901,0,0.717924612,0.00377566,1,1,1,1,1,1,1
0.064607883,0.2,0,0.709090909,0.155925307,1,0.092584199,0.20067697,0,0.694230057,0.146153527,0.902306227,0.102040816,0.220408163,0,0.638888889,0.083969466,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,0,0.278263111,0,0.829281266,0,1,0.044423166,0.277581351,0,0.802836262,0.061220904,1,1,1,1,1,1,1
0.036964709,0.177570093,0,0.745098039,0.125243274,1,0.067392261,0.180731655,0,0.760755094,0.139288768,0.923951836,0.102040816,0.220408163,0,0.638888889,0.083969466,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,0,0.262175931,0,0.870385305,0,1,0.016909829,0.262631611,0,0.871382484,0.067276357,1,1,1,1,1,1,1
0.069363395,0.215517241,0,0.71641791,0,1,0.085307657,0.212162167,0,0.651364074,0.078772208,0.955379247,0.102040816,0.220408163,0,0.638888889,0.083969466,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,0,0.303278689,0,0.816672535,0,1,0.032480005,0.294610764,0,0.790823002,0.031784381,1,1,1,1,1,1,1
0.103365385,0.216666667,0,0.56,0.102989558,1,0.106862777,0.219184481,0,0.564986505,0.110255458,1,0.102040816,0.220408163,0,0.638888889,0.083969466,1,0.102040816,0.220408163,0,0.601851852,0.118320611,0.93129771,0.005581566,0.300813008,0,0.704554769,0,1,0.036652157,0.305533906,0,0.697729963,0.05225591,1,1,1,1,1,1,1
